prot_id	transcript_id	gene_id	gene_name	description	source	selected
ENSP00000288050	ENST00000288050	ENSG00000090857	PDPR	pyruvate dehydrogenase phosphatase regulatory subunit	HGNC Symbol;Acc:30264	1
ENSP00000260649	ENST00000260649	ENSG00000138079	SLC3A1	solute carrier family 3 (cystine, dibasic and neutral amino acid transporters, activator of cystine, dibasic and neutral amino acid transport), member 1	HGNC Symbol;Acc:11025	1
ENSP00000363621	ENST00000374497	ENSG00000117308	GALE	UDP-galactose-4-epimerase	HGNC Symbol;Acc:4116	1
ENSP00000366233	ENST00000377034	ENSG00000204681	GABBR1	gamma-aminobutyric acid (GABA) B receptor, 1	HGNC Symbol;Acc:4070	1
ENSP00000365172	ENST00000376004	ENSG00000134901	KDELC1	KDEL (Lys-Asp-Glu-Leu) containing 1	HGNC Symbol;Acc:19350	1
ENSP00000330433	ENST00000333202	ENSG00000184277	TM2D3	TM2 domain containing 3	HGNC Symbol;Acc:24128	1
ENSP00000256658	ENST00000256658	ENSG00000134262	AP4B1	adaptor-related protein complex 4, beta 1 subunit	HGNC Symbol;Acc:572	1
ENSP00000225893	ENST00000225893	ENSG00000108753	HNF1B	HNF1 homeobox B	HGNC Symbol;Acc:11630	1
ENSP00000363349	ENST00000374232	ENSG00000148158	SNX30	sorting nexin family member 30	HGNC Symbol;Acc:23685	1
ENSP00000456648	ENST00000564079	ENSG00000137822	TUBGCP4	tubulin, gamma complex associated protein 4	HGNC Symbol;Acc:16691	1
ENSP00000354498	ENST00000361417	ENSG00000019144	PHLDB1	pleckstrin homology-like domain, family B, member 1	HGNC Symbol;Acc:23697	1
ENSP00000261326	ENST00000261326	ENSG00000075643	MOCOS	molybdenum cofactor sulfurase	HGNC Symbol;Acc:18234	1
ENSP00000355880	ENST00000366913	ENSG00000117791	MARC2	mitochondrial amidoxime reducing component 2	HGNC Symbol;Acc:26064	1
ENSP00000355877	ENST00000366910	ENSG00000186205	MARC1	mitochondrial amidoxime reducing component 1	HGNC Symbol;Acc:26189	1
ENSP00000328083	ENST00000333677	ENSG00000183111	ARHGEF37	Rho guanine nucleotide exchange factor (GEF) 37	HGNC Symbol;Acc:34430	1
ENSP00000361664	ENST00000372583	ENSG00000127124	HIVEP3	human immunodeficiency virus type I enhancer binding protein 3	HGNC Symbol;Acc:13561	1
ENSP00000342493	ENST00000338376	ENSG00000137824	FAM82A2	family with sequence similarity 82, member A2	HGNC Symbol;Acc:25550	1
ENSP00000309096	ENST00000311181	ENSG00000174684	B3GNT1	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 1	HGNC Symbol;Acc:15685	1
ENSP00000424798	ENST00000512528	ENSG00000177034	MTX3	metaxin 3	HGNC Symbol;Acc:24812	1
ENSP00000364324	ENST00000375180	ENSG00000184083	FAM120C	family with sequence similarity 120C	HGNC Symbol;Acc:16949	1
ENSP00000417970	ENST00000476287	ENSG00000112584	FAM120B	family with sequence similarity 120B	HGNC Symbol;Acc:21109	1
ENSP00000382767	ENST00000399878	ENSG00000091490	SEL1L3	sel-1 suppressor of lin-12-like 3 (C. elegans)	HGNC Symbol;Acc:29108	1
ENSP00000378356	ENST00000394894	ENSG00000112984	KIF20A	kinesin family member 20A	HGNC Symbol;Acc:9787	1
ENSP00000443246	ENST00000540732	ENSG00000255730	CTC-435M10.3	Uncharacterized protein	UniProtKB/TrEMBL;Acc:F5H5P2	1
ENSP00000354623	ENST00000362057	ENSG00000095397	DFNB31	deafness, autosomal recessive 31	HGNC Symbol;Acc:16361	1
ENSP00000347581	ENST00000355413	ENSG00000006530	AGK	acylglycerol kinase	HGNC Symbol;Acc:21869	1
ENSP00000367882	ENST00000378619	ENSG00000147036	LANCL3	LanC lantibiotic synthetase component C-like 3 (bacterial)	HGNC Symbol;Acc:24767	1
ENSP00000294353	ENST00000294353	ENSG00000162378	ZYG11B	zyg-11 homolog B (C. elegans)	HGNC Symbol;Acc:25820	1
ENSP00000360583	ENST00000371528	ENSG00000203995	ZYG11A	zyg-11 homolog A (C. elegans)	HGNC Symbol;Acc:32058	1
ENSP00000443426	ENST00000542838	ENSG00000013573	DDX11	DEAD/H (Asp-Glu-Ala-Asp/His) box helicase 11	HGNC Symbol;Acc:2736	1
ENSP00000457868	ENST00000482936	ENSG00000026036	RTEL1	regulator of telomere elongation helicase 1	HGNC Symbol;Acc:15888	1
ENSP00000370057	ENST00000380682	ENSG00000169933	FRMPD4	FERM and PDZ domain containing 4	HGNC Symbol;Acc:29007	1
ENSP00000366995	ENST00000377765	ENSG00000070601	FRMPD1	FERM and PDZ domain containing 1	HGNC Symbol;Acc:29159	1
ENSP00000331342	ENST00000330843	ENSG00000156675	RAB11FIP1	RAB11 family interacting protein 1 (class I)	HGNC Symbol;Acc:30265	1
ENSP00000358200	ENST00000369199	ENSG00000107560	RAB11FIP2	RAB11 family interacting protein 2 (class I)	HGNC Symbol;Acc:29152	1
ENSP00000297477	ENST00000297477	ENSG00000164855	TMEM184A	transmembrane protein 184A	HGNC Symbol;Acc:28797	1
ENSP00000267889	ENST00000267889	ENSG00000140323	DISP2	dispatched homolog 2 (Drosophila)	HGNC Symbol;Acc:19712	1
ENSP00000294484	ENST00000294484	ENSG00000204624	PTCHD2	patched domain containing 2	HGNC Symbol;Acc:29251	1
ENSP00000221730	ENST00000221730	ENSG00000105131	EPHX3	epoxide hydrolase 3	HGNC Symbol;Acc:23760	1
ENSP00000379612	ENST00000396319	ENSG00000106052	TAX1BP1	Tax1 (human T-cell leukemia virus type I) binding protein 1	HGNC Symbol;Acc:11575	1
ENSP00000449960	ENST00000550804	ENSG00000012822	CALCOCO1	calcium binding and coiled-coil domain 1	HGNC Symbol;Acc:29306	1
ENSP00000325312	ENST00000323666	ENSG00000111142	METAP2	methionyl aminopeptidase 2	HGNC Symbol;Acc:16672	1
ENSP00000347444	ENST00000355295	ENSG00000196116	TDRD7	tudor domain containing 7	HGNC Symbol;Acc:30831	1
ENSP00000357819	ENST00000368827	ENSG00000182134	TDRKH	tudor and KH domain containing	HGNC Symbol;Acc:11713	1
ENSP00000436318	ENST00000533244	ENSG00000173992	CCS	copper chaperone for superoxide dismutase	HGNC Symbol;Acc:1613	1
ENSP00000371554	ENST00000382120	ENSG00000109610	SOD3	superoxide dismutase 3, extracellular	HGNC Symbol;Acc:11181	1
ENSP00000270142	ENST00000270142	ENSG00000142168	SOD1	superoxide dismutase 1, soluble	HGNC Symbol;Acc:11179	1
ENSP00000392855	ENST00000431515	ENSG00000127564	PKMYT1	protein kinase, membrane associated tyrosine/threonine 1	HGNC Symbol;Acc:29650	1
ENSP00000393747	ENST00000457351	ENSG00000164088	PPM1M	protein phosphatase, Mg2+/Mn2+ dependent, 1M	HGNC Symbol;Acc:26506	1
ENSP00000360582	ENST00000371527	ENSG00000186416	NKRF	NFKB repressing factor	HGNC Symbol;Acc:19374	1
ENSP00000267163	ENST00000267163	ENSG00000139687	RB1	retinoblastoma 1	HGNC Symbol;Acc:9884	1
ENSP00000395249	ENST00000430297	ENSG00000144567	FAM134A	family with sequence similarity 134, member A	HGNC Symbol;Acc:28450	1
ENSP00000261313	ENST00000261313	ENSG00000089220	PEBP1	phosphatidylethanolamine binding protein 1	HGNC Symbol;Acc:8630	1
ENSP00000308275	ENST00000309352	ENSG00000204316	MRPL38	mitochondrial ribosomal protein L38	HGNC Symbol;Acc:14033	1
ENSP00000370767	ENST00000381362	ENSG00000169347	GP2	glycoprotein 2 (zymogen granule membrane)	HGNC Symbol;Acc:4441	1
ENSP00000379442	ENST00000396138	ENSG00000169344	UMOD	uromodulin	HGNC Symbol;Acc:12559	1
ENSP00000333900	ENST00000334011	ENSG00000138315	OIT3	oncoprotein induced transcript 3	HGNC Symbol;Acc:29953	1
ENSP00000386126	ENST00000408989	ENSG00000177398	UMODL1	uromodulin-like 1	HGNC Symbol;Acc:12560	1
ENSP00000220669	ENST00000220669	ENSG00000104231	ZFAND1	zinc finger, AN1-type domain 1	HGNC Symbol;Acc:25858	1
ENSP00000314619	ENST00000316495	ENSG00000178381	ZFAND2A	zinc finger, AN1-type domain 2A	HGNC Symbol;Acc:28073	1
ENSP00000289528	ENST00000289528	ENSG00000158552	ZFAND2B	zinc finger, AN1-type domain 2B	HGNC Symbol;Acc:25206	1
ENSP00000330601	ENST00000330710	ENSG00000182218	HHIPL1	HHIP-like 1	HGNC Symbol;Acc:19710	1
ENSP00000342118	ENST00000343410	ENSG00000143512	HHIPL2	HHIP-like 2	HGNC Symbol;Acc:25842	1
ENSP00000319851	ENST00000315251	ENSG00000016391	CHDH	choline dehydrogenase	HGNC Symbol;Acc:24288	1
ENSP00000452877	ENST00000560079	ENSG00000166716	ZNF592	zinc finger protein 592	HGNC Symbol;Acc:28986	1
ENSP00000336620	ENST00000336715	ENSG00000143373	ZNF687	zinc finger protein 687	HGNC Symbol;Acc:29277	1
ENSP00000304364	ENST00000304661	ENSG00000171155	C1GALT1C1	C1GALT1-specific chaperone 1	HGNC Symbol;Acc:24338	1
ENSP00000264977	ENST00000264977	ENSG00000073711	PPP2R3A	protein phosphatase 2, regulatory subunit B'', alpha	HGNC Symbol;Acc:9307	1
ENSP00000428342	ENST00000522165	ENSG00000197467	COL13A1	collagen, type XIII, alpha 1	HGNC Symbol;Acc:2190	1
ENSP00000253792	ENST00000352035	ENSG00000131473	ACLY	ATP citrate lyase	HGNC Symbol;Acc:115	1
ENSP00000362013	ENST00000372922	ENSG00000124496	TRERF1	transcriptional regulating factor 1	HGNC Symbol;Acc:18273	1
ENSP00000331643	ENST00000329291	ENSG00000185220	PGBD2	piggyBac transposable element derived 2	HGNC Symbol;Acc:19399	1
ENSP00000259883	ENST00000259883	ENSG00000137338	PGBD1	piggyBac transposable element derived 1	HGNC Symbol;Acc:19398	1
ENSP00000363242	ENST00000374127	ENSG00000243251	PGBD3	piggyBac transposable element derived 3	HGNC Symbol;Acc:19400	1
ENSP00000387966	ENST00000447839	ENSG00000258838	RP11-123B3.6	piggyBac transposable element-derived protein 3	RefSeq peptide;Acc:NP_736609	1
ENSP00000380872	ENST00000397766	ENSG00000182405	PGBD4	piggyBac transposable element derived 4	HGNC Symbol;Acc:19401	1
ENSP00000368767	ENST00000379454	ENSG00000198363	ASPH	aspartate beta-hydroxylase	HGNC Symbol;Acc:757	1
ENSP00000265299	ENST00000265299	ENSG00000106125	FAM188B	family with sequence similarity 188, member B	HGNC Symbol;Acc:21916	1
ENSP00000354671	ENST00000361297	ENSG00000086015	MAST2	microtubule associated serine/threonine kinase 2	HGNC Symbol;Acc:19035	1
ENSP00000251472	ENST00000251472	ENSG00000105613	MAST1	microtubule associated serine/threonine kinase 1	HGNC Symbol;Acc:19034	1
ENSP00000253048	ENST00000253048	ENSG00000130749	ZC3H4	zinc finger CCCH-type containing 4	HGNC Symbol;Acc:17808	1
ENSP00000304032	ENST00000302824	ENSG00000172345	STARD5	StAR-related lipid transfer (START) domain containing 5	HGNC Symbol;Acc:18065	1
ENSP00000296632	ENST00000296632	ENSG00000164211	STARD4	StAR-related lipid transfer (START) domain containing 4	HGNC Symbol;Acc:18058	1
ENSP00000357409	ENST00000368424	ENSG00000163354	DCST2	DC-STAMP domain containing 2	HGNC Symbol;Acc:26562	1
ENSP00000295542	ENST00000295542	ENSG00000163357	DCST1	DC-STAMP domain containing 1	HGNC Symbol;Acc:26539	1
ENSP00000304592	ENST00000306749	ENSG00000169710	FASN	fatty acid synthase	HGNC Symbol;Acc:3594	1
ENSP00000280701	ENST00000280701	ENSG00000151093	OXSM	3-oxoacyl-ACP synthase, mitochondrial	HGNC Symbol;Acc:26063	1
ENSP00000356115	ENST00000367147	ENSG00000174514	MFSD4	major facilitator superfamily domain containing 4	HGNC Symbol;Acc:25433	1
ENSP00000346890	ENST00000354831	ENSG00000078618	NRD1	nardilysin (N-arginine dibasic convertase)	HGNC Symbol;Acc:7995	1
ENSP00000306528	ENST00000302550	ENSG00000121644	DESI2	desumoylating isopeptidase 2	HGNC Symbol;Acc:24264	1
ENSP00000368462	ENST00000379164	ENSG00000168843	FSTL5	follistatin-like 5	HGNC Symbol;Acc:21386	1
ENSP00000343657	ENST00000340941	ENSG00000131844	MCCC2	methylcrotonoyl-CoA carboxylase 2 (beta)	HGNC Symbol;Acc:6937	1
ENSP00000338157	ENST00000335953	ENSG00000109906	ZBTB16	zinc finger and BTB domain containing 16	HGNC Symbol;Acc:12930	1
ENSP00000262630	ENST00000262630	ENSG00000011590	ZBTB32	zinc finger and BTB domain containing 32	HGNC Symbol;Acc:16763	1
ENSP00000338290	ENST00000338121	ENSG00000125812	GZF1	GDNF-inducible zinc finger protein 1	HGNC Symbol;Acc:15808	1
ENSP00000331831	ENST00000327773	ENSG00000183087	GAS6	growth arrest-specific 6	HGNC Symbol;Acc:4168	1
ENSP00000377783	ENST00000394236	ENSG00000184500	PROS1	protein S (alpha)	HGNC Symbol;Acc:9456	1
ENSP00000361418	ENST00000372343	ENSG00000117408	IPO13	importin 13	HGNC Symbol;Acc:16853	1
ENSP00000370620	ENST00000381222	ENSG00000214717	ZBED1	zinc finger, BED-type containing 1	HGNC Symbol;Acc:447	1
ENSP00000234739	ENST00000234739	ENSG00000116128	BCL9	B-cell CLL/lymphoma 9	HGNC Symbol;Acc:1008	1
ENSP00000335320	ENST00000334801	ENSG00000186174	BCL9L	B-cell CLL/lymphoma 9-like	HGNC Symbol;Acc:23688	1
ENSP00000351894	ENST00000359003	ENSG00000198646	NCOA6	nuclear receptor coactivator 6	HGNC Symbol;Acc:15936	1
ENSP00000227471	ENST00000227471	ENSG00000110057	UNC93B1	unc-93 homolog B1 (C. elegans)	HGNC Symbol;Acc:13481	1
ENSP00000356104	ENST00000367136	ENSG00000162877	PM20D1	peptidase M20 domain containing 1	HGNC Symbol;Acc:26518	1
ENSP00000420487	ENST00000463937	ENSG00000114786	ABHD14A-ACY1	ABHD14A-ACY1 readthrough (non-protein coding)	HGNC Symbol;Acc:38856	1
ENSP00000384296	ENST00000404366	ENSG00000243989	ACY1	aminoacylase 1	HGNC Symbol;Acc:177	1
ENSP00000371073	ENST00000381657	ENSG00000182378	PLCXD1	phosphatidylinositol-specific phospholipase C, X domain containing 1	HGNC Symbol;Acc:23148	1
ENSP00000347802	ENST00000355594	ENSG00000198483	ANKRD35	ankyrin repeat domain 35	HGNC Symbol;Acc:26323	1
ENSP00000262970	ENST00000262970	ENSG00000089847	ANKRD24	ankyrin repeat domain 24	HGNC Symbol;Acc:29424	1
ENSP00000427123	ENST00000515799	ENSG00000039560	RAI14	retinoic acid induced 14	HGNC Symbol;Acc:14873	1
ENSP00000371169	ENST00000381750	ENSG00000120158	RCL1	RNA terminal phosphate cyclase-like 1	HGNC Symbol;Acc:17687	1
ENSP00000355560	ENST00000366601	ENSG00000116957	TBCE	tubulin folding cofactor E	HGNC Symbol;Acc:11582	1
ENSP00000262056	ENST00000262056	ENSG00000063046	EIF4B	eukaryotic translation initiation factor 4B	HGNC Symbol;Acc:3285	1
ENSP00000231572	ENST00000231572	ENSG00000113643	RARS	arginyl-tRNA synthetase	HGNC Symbol;Acc:9870	1
ENSP00000363533	ENST00000374412	ENSG00000138400	MDH1B	malate dehydrogenase 1B, NAD (soluble)	HGNC Symbol;Acc:17836	1
ENSP00000323811	ENST00000321169	ENSG00000131373	HACL1	2-hydroxyacyl-CoA lyase 1	HGNC Symbol;Acc:17856	1
ENSP00000263383	ENST00000263383	ENSG00000105135	ILVBL	ilvB (bacterial acetolactate synthase)-like	HGNC Symbol;Acc:6041	1
ENSP00000282251	ENST00000282251	ENSG00000152404	CWF19L2	CWF19-like 2, cell cycle control (S. pombe)	HGNC Symbol;Acc:26508	1
ENSP00000385800	ENST00000405089	ENSG00000183773	AIFM3	apoptosis-inducing factor, mitochondrion-associated, 3	HGNC Symbol;Acc:26398	1
ENSP00000366179	ENST00000376980	ENSG00000136770	DNAJC1	DnaJ (Hsp40) homolog, subfamily C, member 1	HGNC Symbol;Acc:20090	1
ENSP00000361202	ENST00000372129	ENSG00000133124	IRS4	insulin receptor substrate 4	HGNC Symbol;Acc:6128	1
ENSP00000403802	ENST00000432825	ENSG00000147912	FBXO10	F-box protein 10	HGNC Symbol;Acc:13589	1
ENSP00000358106	ENST00000369110	ENSG00000085377	PREP	prolyl endopeptidase	HGNC Symbol;Acc:9358	1
ENSP00000386543	ENST00000409936	ENSG00000138078	PREPL	prolyl endopeptidase-like	HGNC Symbol;Acc:30228	1
ENSP00000333602	ENST00000333577	ENSG00000183495	EP400	E1A binding protein p400	HGNC Symbol;Acc:11958	1
ENSP00000222511	ENST00000222511	ENSG00000105793	GTPBP10	GTP-binding protein 10 (putative)	HGNC Symbol;Acc:25106	1
ENSP00000359859	ENST00000370823	ENSG00000101181	GTPBP5	GTP binding protein 5 (putative)	HGNC Symbol;Acc:16239	1
ENSP00000462790	ENST00000580095	ENSG00000177302	TOP3A	topoisomerase (DNA) III alpha	HGNC Symbol;Acc:11992	1
ENSP00000381773	ENST00000398793	ENSG00000100038	TOP3B	topoisomerase (DNA) III beta	HGNC Symbol;Acc:11993	1
ENSP00000453129	ENST00000560031	ENSG00000156958	GALK2	galactokinase 2	HGNC Symbol;Acc:4119	1
ENSP00000406305	ENST00000437911	ENSG00000108479	GALK1	galactokinase 1	HGNC Symbol;Acc:4118	1
ENSP00000377192	ENST00000393562	ENSG00000160211	G6PD	glucose-6-phosphate dehydrogenase	HGNC Symbol;Acc:4057	1
ENSP00000366620	ENST00000377403	ENSG00000049239	H6PD	hexose-6-phosphate dehydrogenase (glucose 1-dehydrogenase)	HGNC Symbol;Acc:4795	1
ENSP00000348888	ENST00000356495	ENSG00000162896	PIGR	polymeric immunoglobulin receptor	HGNC Symbol;Acc:8968	1
ENSP00000328287	ENST00000327697	ENSG00000164068	RNF123	ring finger protein 123	HGNC Symbol;Acc:21148	1
ENSP00000274695	ENST00000274695	ENSG00000145996	CDKAL1	CDK5 regulatory subunit associated protein 1-like 1	HGNC Symbol;Acc:21050	1
ENSP00000350558	ENST00000357886	ENSG00000101391	CDK5RAP1	CDK5 regulatory subunit associated protein 1	HGNC Symbol;Acc:15880	1
ENSP00000371734	ENST00000382297	ENSG00000107104	KANK1	KN motif and ankyrin repeat domains 1	HGNC Symbol;Acc:19309	1
ENSP00000360195	ENST00000371153	ENSG00000132854	KANK4	KN motif and ankyrin repeat domains 4	HGNC Symbol;Acc:27263	1
ENSP00000309501	ENST00000309447	ENSG00000174145	KIAA1239	KIAA1239	HGNC Symbol;Acc:29229	1
ENSP00000447224	ENST00000552788	ENSG00000188039	NWD1	NACHT and WD repeat domain containing 1	HGNC Symbol;Acc:27619	1
ENSP00000337159	ENST00000338008	ENSG00000039319	ZFYVE16	zinc finger, FYVE domain containing 16	HGNC Symbol;Acc:20756	1
ENSP00000264036	ENST00000264036	ENSG00000076706	MCAM	melanoma cell adhesion molecule	HGNC Symbol;Acc:6934	1
ENSP00000270233	ENST00000270233	ENSG00000187244	BCAM	basal cell adhesion molecule (Lutheran blood group)	HGNC Symbol;Acc:6722	1
ENSP00000313854	ENST00000320895	ENSG00000049656	CLPTM1L	CLPTM1-like	HGNC Symbol;Acc:24308	1
ENSP00000260956	ENST00000260956	ENSG00000138385	SSB	Sjogren syndrome antigen B (autoantigen La)	HGNC Symbol;Acc:11316	1
ENSP00000450731	ENST00000554659	ENSG00000100568	VTI1B	vesicle transport through interaction with t-SNAREs homolog 1B (yeast)	HGNC Symbol;Acc:17793	1
ENSP00000260257	ENST00000260257	ENSG00000255561	FDXACB1	ferredoxin-fold anticodon binding domain containing 1	HGNC Symbol;Acc:25110	1
ENSP00000274680	ENST00000274680	ENSG00000145982	FARS2	phenylalanyl-tRNA synthetase 2, mitochondrial	HGNC Symbol;Acc:21062	1
ENSP00000335060	ENST00000334815	ENSG00000186603	HPDL	4-hydroxyphenylpyruvate dioxygenase-like	HGNC Symbol;Acc:28242	1
ENSP00000289004	ENST00000289004	ENSG00000158104	HPD	4-hydroxyphenylpyruvate dioxygenase	HGNC Symbol;Acc:5147	1
ENSP00000298910	ENST00000298910	ENSG00000188906	LRRK2	leucine-rich repeat kinase 2	HGNC Symbol;Acc:18618	1
ENSP00000347626	ENST00000355451	ENSG00000015676	NUDCD3	NudC domain containing 3	HGNC Symbol;Acc:22208	1
ENSP00000327650	ENST00000333371	ENSG00000184056	VPS33B	vacuolar protein sorting 33 homolog B (yeast)	HGNC Symbol;Acc:12712	1
ENSP00000367498	ENST00000378251	ENSG00000130764	LRRC47	leucine rich repeat containing 47	HGNC Symbol;Acc:29207	1
ENSP00000392164	ENST00000447185	ENSG00000078018	MAP2	microtubule-associated protein 2	HGNC Symbol;Acc:6839	1
ENSP00000314396	ENST00000322396	ENSG00000164169	PRMT10	protein arginine methyltransferase 10 (putative)	HGNC Symbol;Acc:25099	1
ENSP00000343103	ENST00000339507	ENSG00000132600	PRMT7	protein arginine methyltransferase 7	HGNC Symbol;Acc:25557	1
ENSP00000209728	ENST00000209728	ENSG00000094804	CDC6	cell division cycle 6 homolog (S. cerevisiae)	HGNC Symbol;Acc:1744	1
ENSP00000360623	ENST00000371568	ENSG00000085840	ORC1	origin recognition complex, subunit 1	HGNC Symbol;Acc:8487	1
ENSP00000346964	ENST00000354891	ENSG00000164318	EGFLAM	EGF-like, fibronectin type III and laminin G domains	HGNC Symbol;Acc:26810	1
ENSP00000216264	ENST00000216264	ENSG00000100422	CERK	ceramide kinase	HGNC Symbol;Acc:19256	1
ENSP00000405932	ENST00000445876	ENSG00000119608	PROX2	prospero homeobox 2	HGNC Symbol;Acc:26715	1
ENSP00000395487	ENST00000447906	ENSG00000164164	OTUD4	OTU domain containing 4	HGNC Symbol;Acc:24949	1
ENSP00000378260	ENST00000394780	ENSG00000101901	ALG13	asparagine-linked glycosylation 13 homolog (S. cerevisiae)	HGNC Symbol;Acc:30881	1
ENSP00000240617	ENST00000240617	ENSG00000121316	PLBD1	phospholipase B domain containing 1	HGNC Symbol;Acc:26215	1
ENSP00000280800	ENST00000280800	ENSG00000151176	PLBD2	phospholipase B domain containing 2	HGNC Symbol;Acc:27283	1
ENSP00000355510	ENST00000366552	ENSG00000162843	WDR64	WD repeat domain 64	HGNC Symbol;Acc:26570	1
ENSP00000417573	ENST00000462683	ENSG00000181704	YIPF6	Yip1 domain family, member 6	HGNC Symbol;Acc:28304	1
ENSP00000260045	ENST00000260045	ENSG00000137492	PRKRIR	protein-kinase, interferon-inducible double stranded RNA dependent inhibitor, repressor of (P58 repressor)	HGNC Symbol;Acc:9440	1
ENSP00000265967	ENST00000349215	ENSG00000110756	HPS5	Hermansky-Pudlak syndrome 5	HGNC Symbol;Acc:17022	1
ENSP00000360107	ENST00000371068	ENSG00000096093	EFHC1	EF-hand domain (C-terminal) containing 1	HGNC Symbol;Acc:16406	1
ENSP00000404232	ENST00000420999	ENSG00000183690	EFHC2	EF-hand domain (C-terminal) containing 2	HGNC Symbol;Acc:26233	1
ENSP00000400803	ENST00000448384	ENSG00000214954	LRRC69	leucine rich repeat containing 69	HGNC Symbol;Acc:34303	1
ENSP00000298288	ENST00000298288	ENSG00000165501	LRR1	leucine rich repeat protein 1	HGNC Symbol;Acc:19742	1
ENSP00000285871	ENST00000285871	ENSG00000135205	CCDC146	coiled-coil domain containing 146	HGNC Symbol;Acc:29296	1
ENSP00000415885	ENST00000428149	ENSG00000137760	ALKBH8	alkB, alkylation repair homolog 8 (E. coli)	HGNC Symbol;Acc:25189	1
ENSP00000364126	ENST00000374987	ENSG00000169188	APEX2	APEX nuclease (apurinic/apyrimidinic endonuclease) 2	HGNC Symbol;Acc:17889	1
ENSP00000408249	ENST00000421660	ENSG00000163872	YEATS2	YEATS domain containing 2	HGNC Symbol;Acc:25489	1
ENSP00000215770	ENST00000215770	ENSG00000099974	DDTL	D-dopachrome tautomerase-like	HGNC Symbol;Acc:33446	1
ENSP00000215773	ENST00000350608	ENSG00000099977	DDT	D-dopachrome tautomerase	HGNC Symbol;Acc:2732	1
ENSP00000215754	ENST00000215754	ENSG00000240972	MIF	macrophage migration inhibitory factor (glycosylation-inhibiting factor)	HGNC Symbol;Acc:7097	1
ENSP00000255194	ENST00000255194	ENSG00000132842	AP3B1	adaptor-related protein complex 3, beta 1 subunit	HGNC Symbol;Acc:566	1
ENSP00000440984	ENST00000535359	ENSG00000103723	AP3B2	adaptor-related protein complex 3, beta 2 subunit	HGNC Symbol;Acc:567	1
ENSP00000353826	ENST00000360614	ENSG00000196365	LONP1	lon peptidase 1, mitochondrial	HGNC Symbol;Acc:9479	1
ENSP00000415899	ENST00000416848	ENSG00000129317	PUS7L	pseudouridylate synthase 7 homolog (S. cerevisiae)-like	HGNC Symbol;Acc:25276	1
ENSP00000295666	ENST00000295666	ENSG00000163453	IGFBP7	insulin-like growth factor binding protein 7	HGNC Symbol;Acc:5476	1
ENSP00000366923	ENST00000377694	ENSG00000137142	IGFBPL1	insulin-like growth factor binding protein-like 1	HGNC Symbol;Acc:20081	1
ENSP00000359219	ENST00000370200	ENSG00000107821	KAZALD1	Kazal-type serine peptidase inhibitor domain 1	HGNC Symbol;Acc:25460	1
ENSP00000316891	ENST00000313860	ENSG00000064042	LIMCH1	LIM and calponin homology domains 1	HGNC Symbol;Acc:29191	1
ENSP00000268043	ENST00000268043	ENSG00000140451	PIF1	PIF1 5'-to-3' DNA helicase homolog (S. cerevisiae)	HGNC Symbol;Acc:26220	1
ENSP00000215885	ENST00000215885	ENSG00000100078	PLA2G3	phospholipase A2, group III	HGNC Symbol;Acc:17934	1
ENSP00000317468	ENST00000325167	ENSG00000176108	CHMP6	charged multivesicular body protein 6	HGNC Symbol;Acc:25675	1
ENSP00000380794	ENST00000397677	ENSG00000147457	CHMP7	charged multivesicular body protein 7	HGNC Symbol;Acc:28439	1
ENSP00000366025	ENST00000376829	ENSG00000134874	DZIP1	DAZ interacting protein 1	HGNC Symbol;Acc:20908	1
ENSP00000324810	ENST00000317040	ENSG00000141971	FAM125A	family with sequence similarity 125, member A	HGNC Symbol;Acc:25153	1
ENSP00000430548	ENST00000517309	ENSG00000156471	PTDSS1	phosphatidylserine synthase 1	HGNC Symbol;Acc:9587	1
ENSP00000355720	ENST00000366758	ENSG00000081692	JMJD4	jumonji domain containing 4	HGNC Symbol;Acc:25724	1
ENSP00000394085	ENST00000445478	ENSG00000070495	JMJD6	jumonji domain containing 6	HGNC Symbol;Acc:19355	1
ENSP00000435781	ENST00000529202	ENSG00000129151	BBOX1	butyrobetaine (gamma), 2-oxoglutarate dioxygenase (gamma-butyrobetaine hydroxylase) 1	HGNC Symbol;Acc:964	1
ENSP00000358777	ENST00000369762	ENSG00000071553	ATP6AP1	ATPase, H+ transporting, lysosomal accessory protein 1	HGNC Symbol;Acc:868	1
ENSP00000426090	ENST00000505450	ENSG00000007062	PROM1	prominin 1	HGNC Symbol;Acc:9454	1
ENSP00000318520	ENST00000317668	ENSG00000155066	PROM2	prominin 2	HGNC Symbol;Acc:20685	1
ENSP00000301327	ENST00000301327	ENSG00000167700	MFSD3	major facilitator superfamily domain containing 3	HGNC Symbol;Acc:25157	1
ENSP00000335193	ENST00000348544	ENSG00000166887	VPS39	vacuolar protein sorting 39 homolog (S. cerevisiae)	HGNC Symbol;Acc:20593	1
ENSP00000377027	ENST00000393359	ENSG00000135966	TGFBRAP1	transforming growth factor, beta receptor associated protein 1	HGNC Symbol;Acc:16836	1
ENSP00000330051	ENST00000329805	ENSG00000185156	MFSD6L	major facilitator superfamily domain containing 6-like	HGNC Symbol;Acc:26656	1
ENSP00000230792	ENST00000230792	ENSG00000112874	NUDT12	nudix (nucleoside diphosphate linked moiety X)-type motif 12	HGNC Symbol;Acc:18826	1
